統計4-8 来日外国人の主な国籍別検挙状況の推移（平成27年〜令和6年）特別法犯,,,,,,,,,,,,
,,,,,,,,,,,,
,,年次,平成27,28,29,30,令和元,2,3,4,5,6
区分,,,,,,,,,,,,
特別法犯検挙件数,特別法犯検挙件数,,"4,850","5,090","5,994","6,662","8,112","8,353","6,788","6,114","8,048","8,389"
特別法犯検挙件数,ベトナム,,759,"1,035","1,549","2,206","3,019","3,924","2,790","2,557","3,868","3,698"
特別法犯検挙件数,ベトナム,,15.60%,20.30%,25.80%,33.10%,37.20%,47.00%,41.10%,41.80%,48.10%,44.10%
特別法犯検挙件数,中国,,"2,225","1,859","2,019","1,988","2,164","1,729","1,392","1,290","1,048","1,087"
特別法犯検挙件数,中国,,45.90%,36.50%,33.70%,29.80%,26.70%,20.70%,20.50%,21.10%,13.00%,13.00%
特別法犯検挙件数,タイ,,246,351,442,364,474,468,396,386,644,756
特別法犯検挙件数,タイ,,5.10%,6.90%,7.40%,5.50%,5.80%,5.60%,5.80%,6.30%,8.00%,9.00%
特別法犯検挙件数,インドネシア,,58,151,154,188,324,246,302,238,290,434
特別法犯検挙件数,インドネシア,,1.20%,3.00%,2.60%,2.80%,4.00%,2.90%,4.40%,3.90%,3.60%,5.20%
特別法犯検挙件数,フィリピン,,416,387,405,446,432,505,399,339,340,354
特別法犯検挙件数,フィリピン,,8.60%,7.60%,6.80%,6.70%,5.30%,6.00%,5.90%,5.50%,4.20%,4.20%
特別法犯検挙人員,特別法犯検挙人員,,"3,855","4,012","4,715","5,238","6,092","6,122","5,104","4,534","5,799","5,802"
特別法犯検挙人員,ベトナム,,492,709,"1,106","1,551","2,121","2,724","2,099","1,851","2,621","2,412"
特別法犯検挙人員,ベトナム,,12.80%,17.70%,23.50%,29.60%,34.80%,44.50%,41.10%,40.80%,45.20%,41.60%
特別法犯検挙人員,中国,,"1,789","1,456","1,536","1,566","1,497","1,226",996,866,777,757
特別法犯検挙人員,中国,,46.40%,36.30%,32.60%,29.90%,24.60%,20.00%,19.50%,19.10%,13.40%,13.00%
特別法犯検挙人員,タイ,,215,307,411,349,446,420,336,304,501,565
特別法犯検挙人員,タイ,,5.60%,7.70%,8.70%,6.70%,7.30%,6.90%,6.60%,6.70%,8.60%,9.70%
特別法犯検挙人員,インドネシア,,49,117,126,153,240,183,218,177,214,317
特別法犯検挙人員,インドネシア,,1.30%,2.90%,2.70%,2.90%,3.90%,3.00%,4.30%,3.90%,3.70%,5.50%
特別法犯検挙人員,フィリピン,,398,352,362,403,355,430,321,292,280,283
特別法犯検挙人員,フィリピン,,10.30%,8.80%,7.70%,7.70%,5.80%,7.00%,6.30%,6.40%,4.80%,4.90%
注：「中国」は「中国（香港等）」及び「中国（台湾）」を含まない。,,,,,,,,,,,,
