地域,国籍,検挙件数,検挙人員
全国（総数）,総数,2027,1392
アジア州,韓国・朝鮮,78,76
アジア州,中国,622,442
アジア州,インド,16,15
アジア州,インドネシア,21,22
アジア州,サウジアラビア,2,2
アジア州,シンガポール,3,2
アジア州,スリランカ,39,50
アジア州,タイ,27,13
アジア州,パキスタン,19,18
アジア州,バングラデシュ,19,18
アジア州,フィリピン,56,52
アジア州,ベトナム,405,169
アジア州,マレーシア,15,5
アジア州,ミャンマー,53,53
アジア州,ラオス,0,0
アジア州,イスラエル,3,3
アジア州,ネパール,61,64
アジア州,イラン,6,8
アジア州,その他,77,81
ヨーロッパ州,アイルランド,0,0
ヨーロッパ州,イギリス,12,13
ヨーロッパ州,イタリア,1,1
ヨーロッパ州,オランダ,0,0
ヨーロッパ州,ロシア,12,11
ヨーロッパ州,ドイツ,5,5
ヨーロッパ州,ハンガリー,0,0
ヨーロッパ州,フランス,15,18
ヨーロッパ州,その他,138,75
アメリカ州,アメリカ,87,72
アメリカ州,カナダ,8,8
アメリカ州,メキシコ,17,5
アメリカ州,アルゼンチン,1,1
アメリカ州,コロンビア,43,3
アメリカ州,ブラジル,12,8
アメリカ州,ペルー,11,10
アメリカ州,その他,16,8
アフリカ州,エジプト,2,2
アフリカ州,ガーナ,0,0
アフリカ州,ナイジェリア,4,4
アフリカ州,その他,95,30
オセアニア州,オーストラリア,19,18
オセアニア州,ニュージーランド,5,5
オセアニア州,その他,2,2
